PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001XG6K,自定义项28
1001ZZ1LCP000001XG6L,自定义项29
1001ZZ1LCP000001XG6M,自定义项30
1001ZZ1LCP000001XG6N,来源行号
1001ZZ1LCP000001XG6O,行号
1001ZZ1LCP000001XG6P,主键
1001ZZ1LCP000001XG6Q,名称
1001ZZ1LCP000001XG6R,型号
1001ZZ1LCP000001XG6S,规格
1001ZZ1LCP000001XG6T,图号或技术条件
1001ZZ1LCP000001XG6U,计量单位
1001ZZ1LCP000001XG6V,采购数量
1001ZZ1LCP000001XG6W,收货数量
1001ZZ1LCP000001XG6X,收货单价
1001ZZ1LCP000001XG6Y,入库数量
1001ZZ1LCP000001XG6Z,存储地点
1001ZZ1LCP000001XG70,货位
1001ZZ1LCP000001XG71,是否合格
1001ZZ1LCP000001XG72,器材验验收单号
1001ZZ1LCP000001XG73,器材验收单行号
1001ZZ1LCP000001XG74,自定义项1
1001ZZ1LCP000001XG75,自定义项2
1001ZZ1LCP000001XG76,自定义项3
1001ZZ1LCP000001XG77,自定义项4
1001ZZ1LCP000001XG78,自定义项5
1001ZZ1LCP000001XG79,自定义项6
1001ZZ1LCP000001XG7A,自定义项7
1001ZZ1LCP000001XG7B,自定义项8
1001ZZ1LCP000001XG7C,自定义项9
1001ZZ1LCP000001XG7D,自定义项10
1001ZZ1LCP000001XG7E,自定义项11
1001ZZ1LCP000001XG7F,自定义项12
1001ZZ1LCP000001XG7G,自定义项13
1001ZZ1LCP000001XG7H,自定义项14
1001ZZ1LCP000001XG7I,自定义项15
1001ZZ1LCP000001XG7J,自定义项16
1001ZZ1LCP000001XG7K,自定义项17
1001ZZ1LCP000001XG7L,自定义项18
1001ZZ1LCP000001XG7M,自定义项19
1001ZZ1LCP000001XG7N,自定义项20
1001ZZ1LCP000001XG7O,自定义项21
1001ZZ1LCP000001XG7P,自定义项22
1001ZZ1LCP000001XG7Q,自定义项23
1001ZZ1LCP000001XG7R,自定义项24
1001ZZ1LCP000001XG7S,自定义项25
1001ZZ1LCP000001XG7T,自定义项26
1001ZZ1LCP000001XG7U,自定义项27
1001ZZ1LCP000001XG7V,自定义项28
1001ZZ1LCP000001XG7W,自定义项29
1001ZZ1LCP000001XG7X,自定义项30
1001ZZ1LCP000001XG7Y,来源行号
1001ZZ1LCP000001XG7Z,行号
1001ZZ1LCP000001XG80,主键
1001ZZ1LCP000001XG81,名称
1001ZZ1LCP000001XG82,型号
1001ZZ1LCP000001XG83,规格
1001ZZ1LCP000001XG84,图号或技术条件
1001ZZ1LCP000001XG85,计量单位
1001ZZ1LCP000001XG86,采购数量
1001ZZ1LCP000001XG87,收货数量
1001ZZ1LCP000001XG88,收货单价
1001ZZ1LCP000001XG89,入库数量
1001ZZ1LCP000001XG8A,存储地点
1001ZZ1LCP000001XG8B,货位
1001ZZ1LCP000001XG8C,是否合格
1001ZZ1LCP000001XG8D,器材验验收单号
1001ZZ1LCP000001XG8E,器材验收单行号
1001ZZ1LCP000001XG8F,自定义项1
1001ZZ1LCP000001XG8G,自定义项2
1001ZZ1LCP000001XG8H,自定义项3
1001ZZ1LCP000001XG8I,自定义项4
1001ZZ1LCP000001XG8J,自定义项5
1001ZZ1LCP000001XG8K,自定义项6
1001ZZ1LCP000001XG8L,自定义项7
1001ZZ1LCP000001XG8M,自定义项8
1001ZZ1LCP000001XG8N,自定义项9
1001ZZ1LCP000001XG8O,自定义项10
1001ZZ1LCP000001XG8P,自定义项11
1001ZZ1LCP000001XG8Q,自定义项12
1001ZZ1LCP000001XG8R,自定义项13
1001ZZ1LCP000001XG8S,自定义项14
1001ZZ1LCP000001XG8T,自定义项15
1001ZZ1LCP000001XG8U,自定义项16
1001ZZ1LCP000001XG8V,自定义项17
1001ZZ1LCP000001XG8W,自定义项18
1001ZZ1LCP000001XG8X,自定义项19
1001ZZ1LCP000001XG8Y,自定义项20
1001ZZ1LCP000001XG8Z,自定义项21
1001ZZ1LCP000001XG90,自定义项22
1001ZZ1LCP000001XG91,自定义项23
1001ZZ1LCP000001XG92,自定义项24
1001ZZ1LCP000001XG93,自定义项25
1001ZZ1LCP000001XG94,自定义项26
1001ZZ1LCP000001XG95,自定义项27
1001ZZ1LCP000001XG96,自定义项28
1001ZZ1LCP000001XG97,自定义项29
1001ZZ1LCP000001XG98,自定义项30
1001ZZ1LCP000001XG99,来源行号
