PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000001DQ7I,自定义项43
1001ZZ1LCP000001DQ7J,自定义项44
1001ZZ1LCP000001DQ7K,自定义项45
1001ZZ1LCP000001DQ7L,自定义项46
1001ZZ1LCP000001DQ7M,来源行号
1001ZZ1LCP000001DQ7N,行号
1001ZZ1LCP000001DQ7O,主键
1001ZZ1LCP000001DQ7P,物料
1001ZZ1LCP000001DQ7Q,料号
1001ZZ1LCP000001DQ7R,品名
1001ZZ1LCP000001DQ7S,规格
1001ZZ1LCP000001DQ7T,存储地点
1001ZZ1LCP000001DQ7U,存储地点
1001ZZ1LCP000001DQ7V,货位
1001ZZ1LCP000001DQ7W,发货单数量
1001ZZ1LCP000001DQ7X,实发数量
1001ZZ1LCP000001DQ7Y,批次号
1001ZZ1LCP000001DQ7Z,批次号
1001ZZ1LCP000001DQ80,自定义项16
1001ZZ1LCP000001DQ81,自定义项17
1001ZZ1LCP000001DQ82,自定义项18
1001ZZ1LCP000001DQ83,自定义项19
1001ZZ1LCP000001DQ84,自定义项20
1001ZZ1LCP000001DQ85,自定义项21
1001ZZ1LCP000001DQ86,自定义项22
1001ZZ1LCP000001DQ87,自定义项23
1001ZZ1LCP000001DQ88,自定义项24
1001ZZ1LCP000001DQ89,自定义项25
1001ZZ1LCP000001DQ8A,自定义项26
1001ZZ1LCP000001DQ8B,自定义项27
1001ZZ1LCP000001DQ8C,自定义项28
1001ZZ1LCP000001DQ8D,自定义项29
1001ZZ1LCP000001DQ8E,自定义项30
1001ZZ1LCP000001DQ8F,自定义项31
1001ZZ1LCP000001DQ8G,自定义项32
1001ZZ1LCP000001DQ8H,自定义项33
1001ZZ1LCP000001DQ8I,自定义项34
1001ZZ1LCP000001DQ8J,自定义项35
1001ZZ1LCP000001DQ8K,自定义项36
1001ZZ1LCP000001DQ8L,自定义项37
1001ZZ1LCP000001DQ8M,自定义项38
1001ZZ1LCP000001DQ8N,自定义项39
1001ZZ1LCP000001DQ8O,自定义项40
1001ZZ1LCP000001DQ8P,自定义项41
1001ZZ1LCP000001DQ8Q,自定义项42
1001ZZ1LCP000001DQ8R,自定义项43
1001ZZ1LCP000001DQ8S,自定义项44
1001ZZ1LCP000001DQ8T,自定义项45
1001ZZ1LCP000001DQ8U,自定义项46
1001ZZ1LCP000001DQ8V,来源行号
1001ZZ1LCP000001DQ8W,行号
1001ZZ1LCP000001DQ8X,主键
1001ZZ1LCP000001DQ8Y,物料
1001ZZ1LCP000001DQ8Z,料号
1001ZZ1LCP000001DQ90,品名
1001ZZ1LCP000001DQ91,规格
1001ZZ1LCP000001DQ92,存储地点
1001ZZ1LCP000001DQ93,存储地点
1001ZZ1LCP000001DQ94,货位
1001ZZ1LCP000001DQ95,发货单数量
1001ZZ1LCP000001DQ96,实发数量
1001ZZ1LCP000001DQ97,批次号
1001ZZ1LCP000001DQ98,批次号
1001ZZ1LCP000001DQ99,自定义项16
1001ZZ1LCP000001DQ9A,自定义项17
1001ZZ1LCP000001DQ9B,自定义项18
1001ZZ1LCP000001DQ9C,自定义项19
1001ZZ1LCP000001DQ9D,自定义项20
1001ZZ1LCP000001DQ9E,自定义项21
1001ZZ1LCP000001DQ9F,自定义项22
1001ZZ1LCP000001DQ9G,自定义项23
1001ZZ1LCP000001DQ9H,自定义项24
1001ZZ1LCP000001DQ9I,自定义项25
1001ZZ1LCP000001DQ9J,自定义项26
1001ZZ1LCP000001DQ9K,自定义项27
1001ZZ1LCP000001DQ9L,自定义项28
1001ZZ1LCP000001DQ9M,自定义项29
1001ZZ1LCP000001DQ9N,自定义项30
1001ZZ1LCP000001DQ9O,自定义项31
1001ZZ1LCP000001DQ9P,自定义项32
1001ZZ1LCP000001DQ9Q,自定义项33
1001ZZ1LCP000001DQ9R,自定义项34
1001ZZ1LCP000001DQ9S,自定义项35
1001ZZ1LCP000001DQ9T,自定义项36
1001ZZ1LCP000001DQ9U,自定义项37
1001ZZ1LCP000001DQ9V,自定义项38
1001ZZ1LCP000001DQ9W,自定义项39
1001ZZ1LCP000001DQ9X,自定义项40
1001ZZ1LCP000001DQ9Y,自定义项41
1001ZZ1LCP000001DQ9Z,自定义项42
1001ZZ1LCP000001DQA0,自定义项43
1001ZZ1LCP000001DQA1,自定义项44
1001ZZ1LCP000001DQA2,自定义项45
1001ZZ1LCP000001DQA3,自定义项46
1001ZZ1LCP000001DQA4,来源行号
