PUB_AREA
pk_area,name
1001A11LCP000002ET90,主实体_查询区
1001A11LCP000002ET91,主实体
1001A11LCP000002ET92,主实体_主表单
1001A11LCP000002ET93,操作信息
1001A11LCP000002ET94,子实体0
1001A11LCP000002ET95,子实体0
1001A11LCP000002ET96,子实体0
