PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002V7MB,报废数量
1001A11LCP000002V7MC,实际工时
1001A11LCP000002V7MD,检验人
1001A11LCP000002V7ME,检验日期
1001A11LCP000002V7MF,检测不合格记录及处理结果
1001A11LCP000002V7MG,其他记录及相关记录编号
1001A11LCP000002V7MH,自定义项1
1001A11LCP000002V7MI,自定义项2
1001A11LCP000002V7MJ,自定义项3
1001A11LCP000002V7MK,自定义项4
1001A11LCP000002V7ML,自定义项5
1001A11LCP000002V7MM,自定义项6
1001A11LCP000002V7MN,自定义项7
1001A11LCP000002V7MO,自定义项8
1001A11LCP000002V7MP,自定义项9
1001A11LCP000002V7MQ,自定义项10
1001A11LCP000002V7MR,自定义项11
1001A11LCP000002V7MS,自定义项12
1001A11LCP000002V7MT,自定义项13
1001A11LCP000002V7MU,自定义项14
1001A11LCP000002V7MV,自定义项15
1001A11LCP000002V7MW,自定义项16
1001A11LCP000002V7MX,自定义项17
1001A11LCP000002V7MY,自定义项18
1001A11LCP000002V7MZ,自定义项19
1001A11LCP000002V7N0,主键
1001A11LCP000002V7N1,工序说明
1001A11LCP000002V7N2,自定义项20
1001A11LCP000002V7N3,来源行号
1001A11LCP000002V7N4,行号
1001A11LCP000002V7N5,检验标识
1001A11LCP000002V7N6,部门
1001A11LCP000002V7N7,工作中心
1001A11LCP000002V7N8,班组
1001A11LCP000002V7N9,准备工时(分)
1001A11LCP000002V7NA,加工工时(分)
1001A11LCP000002V7NB,是否转序
1001A11LCP000002V7NC,是否已完成
1001A11LCP000002V7ND,工序要求进度
1001A11LCP000002V7NE,合格数
1001A11LCP000002V7NF,超差数
1001A11LCP000002V7NG,报废数量
1001A11LCP000002V7NH,实际工时
1001A11LCP000002V7NI,检验人
1001A11LCP000002V7NJ,检验日期
1001A11LCP000002V7NK,检测不合格记录及处理结果
1001A11LCP000002V7NL,其他记录及相关记录编号
1001A11LCP000002V7NM,自定义项1
1001A11LCP000002V7NN,自定义项2
1001A11LCP000002V7NO,自定义项3
1001A11LCP000002V7NP,自定义项4
1001A11LCP000002V7NQ,自定义项5
1001A11LCP000002V7NR,自定义项6
1001A11LCP000002V7NS,自定义项7
1001A11LCP000002V7NT,自定义项8
1001A11LCP000002V7NU,自定义项9
1001A11LCP000002V7NV,自定义项10
1001A11LCP000002V7NW,自定义项11
1001A11LCP000002V7NX,自定义项12
1001A11LCP000002V7NY,自定义项13
1001A11LCP000002V7NZ,自定义项14
1001A11LCP000002V7O0,自定义项15
1001A11LCP000002V7O1,自定义项16
1001A11LCP000002V7O2,自定义项17
1001A11LCP000002V7O3,自定义项18
1001A11LCP000002V7O4,自定义项19
1001A11LCP000002V7O5,主键
1001A11LCP000002V7O6,工序说明
1001A11LCP000002V7O7,自定义项20
1001A11LCP000002V7O8,来源行号
