PUB_AREA
pk_area,name
1001A11LCP000002V7G6,临时工艺进程单_查询区
1001A11LCP000002V7G7,临时工艺进程单
1001A11LCP000002V7G8,临时工艺进程单_主表单
1001A11LCP000002V7G9,操作信息
1001A11LCP000002V7GA,工序说明
1001A11LCP000002V7GB,工序说明
1001A11LCP000002V7GC,工序说明
